seg_id,street_name,lat,lng,seg_start_lat,seg_start_lng,seg_end_lat,seg_end_lng,direction,length_m,highway_type,free_flow_speed,osm_u,osm_v
SEG_0001,Unnamed_1,23.228952,72.648844,23.228924,72.648899,23.22898,72.648789,WESTBOUND,12.9,tertiary,40,323138830,8398960441
SEG_0002,GH Road,23.228664,72.648725,23.228924,72.648899,23.228403,72.64855,SOUTHBOUND,68.0,secondary,50,323138830,11729760755
SEG_0003,Unnamed_3,23.228451,72.64984,23.228924,72.648899,23.227978,72.650781,EASTBOUND,220.7,tertiary,40,323138830,780262608
SEG_0004,Unnamed_4,23.205974,72.634208,23.205894,72.634353,23.206054,72.634064,WESTBOUND,34.5,residential,30,323139603,8396777754
SEG_0005,GH Road,23.207027,72.63503,23.205894,72.634353,23.20816,72.635707,NORTHBOUND,287.6,secondary,50,323139603,3832356543
SEG_0006,Unnamed_6,23.225235,72.655874,23.225278,72.65579,23.225191,72.655957,EASTBOUND,19.7,tertiary,40,323143175,323143176
SEG_0007,CH Road,23.225486,72.655922,23.225278,72.65579,23.225693,72.656055,NORTHBOUND,53.5,tertiary,40,323143175,780265416
SEG_0008,CH Road,23.225123,72.655905,23.225191,72.655957,23.225054,72.655853,SOUTHBOUND,18.6,tertiary,40,323143176,323143218
SEG_0009,Unnamed_9,23.223773,72.658604,23.225191,72.655957,23.222355,72.661251,EASTBOUND,626.3,tertiary,40,323143176,8389642089
SEG_0010,Unnamed_10,23.225094,72.65578,23.225054,72.655853,23.225134,72.655706,WESTBOUND,17.4,tertiary,40,323143218,323143219
SEG_0011,CH Road,23.223975,72.655172,23.225054,72.655853,23.222895,72.654491,SOUTHBOUND,277.5,tertiary,40,323143218,780470211
SEG_0012,CH Road,23.225206,72.655748,23.225134,72.655706,23.225278,72.65579,NORTHBOUND,18.1,tertiary,40,323143219,323143175
SEG_0013,Road 3,23.203562,72.658657,23.203613,72.658615,23.203512,72.658698,SOUTHBOUND,14.2,tertiary,40,323143433,323143434
SEG_0014,Unnamed_14,23.203484,72.65866,23.203512,72.658698,23.203457,72.658622,WESTBOUND,9.9,trunk,80,323143434,3832384347
SEG_0015,Unnamed_15,23.213254,72.65775,23.213319,72.657738,23.213189,72.657761,SOUTHBOUND,15.2,tertiary,40,323143516,3832384462
SEG_0016,Unnamed_16,23.21028,72.656432,23.210527,72.65596,23.210033,72.656904,EASTBOUND,111.0,residential,30,323143576,8386256604
SEG_0017,Unnamed_17,23.210548,72.655925,23.210527,72.65596,23.210568,72.65589,WESTBOUND,8.5,residential,30,323143576,3832384345
SEG_0018,CHH Road,23.20972,72.655482,23.210527,72.65596,23.208913,72.655003,SOUTHBOUND,204.9,tertiary,40,323143576,3832384337
SEG_0019,Unnamed_19,23.209319,72.65888,23.20906,72.658711,23.209578,72.659049,NORTHBOUND,67.3,residential,30,323143577,3415905500
SEG_0020,Unnamed_20,23.209142,72.658543,23.20906,72.658711,23.209225,72.658375,WESTBOUND,38.9,residential,30,323143577,3415913102
SEG_0021,Unnamed_21,23.208674,72.658496,23.20906,72.658711,23.208289,72.658282,SOUTHBOUND,96.3,residential,30,323143577,8386583841
SEG_0022,Unnamed_22,23.211729,72.660443,23.211757,72.66046,23.211702,72.660426,SOUTHBOUND,7.0,residential,30,323143579,3832384484
SEG_0023,Unnamed_23,23.211396,72.661145,23.211757,72.66046,23.211036,72.661831,EASTBOUND,161.5,tertiary,40,323143579,8387153366
SEG_0024,Unnamed_24,23.216553,72.651485,23.216941,72.650775,23.216165,72.652194,EASTBOUND,168.8,tertiary,40,323143580,780395354
SEG_0025,CH Road,23.216899,72.650752,23.216941,72.650775,23.216857,72.650729,SOUTHBOUND,10.4,tertiary,40,323143580,3832384498
SEG_0026,Unnamed_26,23.21698,72.650672,23.217019,72.650569,23.216941,72.650775,EASTBOUND,22.8,tertiary,40,323143581,323143580
SEG_0027,CH Road,23.217295,72.650742,23.217019,72.650569,23.217571,72.650915,NORTHBOUND,70.9,tertiary,40,323143581,780344498
SEG_0028,Unnamed_28,23.227935,72.639095,23.227885,72.639191,23.227986,72.638999,WESTBOUND,22.7,tertiary,40,323144491,3900980401
SEG_0029,Unnamed_29,23.227215,72.638774,23.227885,72.639191,23.226544,72.638358,SOUTHBOUND,171.7,tertiary,40,323144491,11729807874
