seg_id,street_name,lat,lng,seg_start_lat,seg_start_lng,seg_end_lat,seg_end_lng,direction,length_m,highway_type,free_flow_speed
SEG_001,GH Road,23.228664,72.648725,23.228924,72.648899,23.228403,72.64855,SOUTHBOUND,68.0,secondary,50
SEG_004,CH Road,23.225486,72.655922,23.225278,72.65579,23.225693,72.656055,NORTHBOUND,53.5,tertiary,40
SEG_008,Road 3,23.203562,72.658657,23.203613,72.658615,23.203512,72.658698,SOUTHBOUND,14.2,tertiary,40
SEG_009,CHH Road,23.20972,72.655482,23.210527,72.65596,23.208913,72.655003,SOUTHBOUND,204.9,tertiary,40
SEG_012,G Road,23.199423,72.623897,23.201948,72.623922,23.196899,72.623873,SOUTHBOUND,561.5,tertiary,40
SEG_015,KH Road,23.215435,72.62237,23.215464,72.622389,23.215406,72.622352,SOUTHBOUND,7.5,secondary,50
SEG_016,Road 2,23.214605,72.623978,23.215464,72.622389,23.213745,72.625568,EASTBOUND,376.9,tertiary,40
SEG_020,Road 4,23.229957,72.631401,23.229977,72.631364,23.229937,72.631437,EASTBOUND,8.7,tertiary,40
SEG_022,Gandhinagar-Sarkhej Highway,23.19591,72.638862,23.195652,72.639344,23.196168,72.63838,WESTBOUND,117.8,trunk,70
SEG_028,Road 5,23.23407,72.649962,23.234801,72.648557,23.233338,72.651366,EASTBOUND,330.8,tertiary,40
