seg_id,street_name,lat,lng,seg_start_lat,seg_start_lng,seg_end_lat,seg_end_lng,direction,length_m,highway_type,free_flow_speed,osm_u,osm_v
SEG_0001,Gandhinagar-Sarkhej Highway,23.193269,72.617049,23.196425,72.62372,23.190113,72.610378,WESTBOUND,1537.9,trunk,80,323134668,11135043524
SEG_0002,GH Road,23.240735,72.656279,23.241165,72.656544,23.240306,72.656015,SOUTHBOUND,109.7,secondary,55,323138717,8389155037
SEG_0003,GH-6 Circle,23.241198,72.656483,23.241165,72.656544,23.241232,72.656421,WESTBOUND,14.8,secondary,55,323138717,323138735
SEG_0004,GH-6 Circle,23.241338,72.656399,23.241232,72.656421,23.241443,72.656376,NORTHBOUND,25.0,secondary,55,323138735,3900987833
SEG_0005,GH Road,23.228664,72.648725,23.228924,72.648899,23.228403,72.64855,SOUTHBOUND,68.0,secondary,55,323138830,11729760755
SEG_0006,Road 6,23.233324,72.674086,23.233329,72.675677,23.23332,72.672496,WESTBOUND,329.0,tertiary,45,323138910,780263298
SEG_0007,Road 6,23.237879,72.663134,23.238086,72.662747,23.237672,72.663521,EASTBOUND,91.6,tertiary,45,323139090,12896761528
SEG_0008,GH Road,23.199848,72.631712,23.197815,72.631314,23.20188,72.632111,NORTHBOUND,460.5,secondary,55,323139597,3832356673
SEG_0009,GH Road,23.207027,72.63503,23.205894,72.634353,23.20816,72.635707,NORTHBOUND,287.6,secondary,55,323139603,3832356543
SEG_0010,Road 7,23.246198,72.668003,23.245825,72.668699,23.246571,72.667308,WESTBOUND,164.5,primary,65,323140146,8386895535
SEG_0011,CH Road,23.245867,72.668724,23.245825,72.668699,23.245909,72.668749,NORTHBOUND,10.6,tertiary,45,323140146,8392604338
SEG_0012,CH Road,23.243835,72.6676,23.245759,72.668804,23.241912,72.666396,SOUTHBOUND,493.4,tertiary,45,323140210,8389244831
SEG_0013,Road 7,23.245792,72.668751,23.245759,72.668804,23.245825,72.668699,WESTBOUND,13.1,primary,65,323140210,323140146
SEG_0014,CH Road,23.245805,72.668831,23.245851,72.668859,23.245759,72.668804,SOUTHBOUND,11.7,tertiary,45,323140339,323140210
SEG_0015,Road 7,23.244986,72.670485,23.245851,72.668859,23.244122,72.67211,EASTBOUND,383.8,primary,65,323140339,780261947
SEG_0016,CHH Road,23.226557,72.663714,23.2257,72.665312,23.227415,72.662116,WESTBOUND,378.2,tertiary,45,323140768,12649075893
SEG_0017,Road 7,23.260445,72.64137,23.260424,72.641405,23.260466,72.641335,WESTBOUND,8.5,primary,65,323141515,3832204449
SEG_0018,Ka Road,23.260181,72.64124,23.260424,72.641405,23.259937,72.641075,SOUTHBOUND,63.7,primary,65,323141515,3459123537
